,Unnamed: 0.1,Unnamed: 0,EcoPortCode,ScientificName,AUTH,FAMNAME,SYNO,COMNAME,LIFO,HABI,LISPA,PHYS,CAT,PLAT,TOPMN,TOPMX,TMIN,TMAX,ROPMN,ROPMX,RMIN,RMAX,PHOPMN,PHOPMX,PHMIN,PHMAX,LATOPMN,LATOPMX,LATMN,LATMX,ALTMX,LIOPMN,LIOPMX,LIMN,LIMX,DEP,DEPR,TEXT,TEXTR,FER,FERR,TOX,TOXR,SAL,SALR,DRA,DRAR,KTMPR,KTMP,PHOTO,CLIZ,ABITOL,ABISUS,INTRI,PROSY,GMIN,GMAX,Genus,Species,Variety,PFAF_URL,USDA_HARDINESS_ZONE,USDA_HARDINESS_ZONE_MIN,USDA_HARDINESS_ZONE_MAX
0,0,0,289,Abelmoschus esculentus,(L.) Moench,Magnoliopsida:Dilleniidae:Malvales:Malvaceae,Hibiscus esculentus L.,"abelmoskus, america-neri, bakhua mun, bamia, bamija, bamya, bandakai, bende', bhindee, bhindi, bindi, bumbo, bunga depros, calulu', cantarella, chaucha turca, dâu bap, Eibisch, frutto d‚ibisco, gobbo, gombaut, gombo, Gombro, haluyoy, huang qiu kui, ibisco, kacang bendi, kacang lender, kembang dapros, ketmie comestible, kopi arab, krachiap man, krachiapkhieo, lady fingers, lady's finger, mesta, ocra, okay, oker, okra, okro, okura, quiabo, quimbambo, quimgombó, quingombo, ramturai, rosenapfel, saluyota bunga, sayur bendi, tori, tuah lek, vendakai, yong kok dau",herb,erect,annual,single stem,vegetables,grown on large scale,20.0,30.0,12.0,35.0,600.0,1200.0,300.0,2500.0,5.5,7.0,4.5,8.7,,,35.0,40.0,1000.0,clear skies,clear skies,very bright,cloudy skies,shallow (20-50 cm),shallow (20-50 cm),"heavy, medium, light, organic","heavy, medium, light",high,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),,,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",,,,,50.0,180.0,Abelmoschus,esculentus,,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus+esculentus,5-11,5,11
1,1,1,290,Abelmoschus manihot,(L.) Medic.,Magnoliopsida:Dilleniidae:Malvales:Malvaceae,"Hibiscus manihot L. (1753), Abelmoschus manihot ssp. manihot [(L)]; Medikus","neka (Simbo), bele (Fiji), pele (Tonga, Tuvalu), aibika, island cabbage, baera, bush spinach, peli, slippery cabbage (Solomon Is.), bush cabbage, slipery kabis",shrub,erect,"annual, perennial",,"vegetables, ornamentals/turf, medicinals & aromatic",grown on small scale,22.0,30.0,16.0,36.0,1200.0,2000.0,1000.0,3000.0,5.5,7.0,5.0,8.0,,,,,1200.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),medium (50-150 cm),"medium, organic","heavy, medium, light",high,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),,,long day (>14 hours),"tropical wet & dry (Aw), tropical wet (Ar)",,,,,365.0,365.0,Abelmoschus,manihot,,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus+manihot,8-11,8,11
2,2,2,291,Abelmoschus moschatus,Medic.,Magnoliopsida:Dilleniidae:Malvales:Malvaceae,Hibiscus abelmoschus L. (1753).,"abelmosk, musk mallow, mushkdan, muskdana, kasturi bhendi, gukhia korai, kasturi bhenda, kattukasturi, varttilai kasturi, lalkasturika, musk okra, ambrette, abelmosco, ambreta, rosa almiscarada, quiabo cheiroso, kasturi, gombo musqué, ketmie musquée, graine de musc, kamang, kaŒmang, karereon, karereon nikapwerik nik, kareron, likonokon, gongul, metei, mety, methey, hathongethong, kamwayang, nikapwerik, setmwechin, sotumo, wakiwaki, wakewake, wakeke, vakeke, aukiki, oŒeŒe, fou ingo, fau ingo, Œaute toga, fau tagaloa, fua samasama, loa, fauŒingo, tropical jewel-hibiscus","herb, sub-shrub",prostrate/procumbent/semi-erect,"annual, biennial, perennial","deciduous, multi stem","ornamentals/turf, medicinals & aromatic",,20.0,30.0,10.0,35.0,1000.0,1400.0,900.0,1500.0,5.5,7.0,5.0,8.0,,,23.0,29.0,900.0,cloudy skies,very bright,light shade,very bright,medium (50-150 cm),shallow (20-50 cm),"medium, organic","medium, organic",high,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),,,,tropical wet & dry (Aw),,,can become a weed,,0.0,0.0,Abelmoschus,moschatus,,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus+moschatus,8-11,8,11
3,3,3,295,Acacia auriculiformis,Cunn. ex Benth.,Magnoliopsida:Rosidae:Fabales:Leguminosae,Racosperma auriculiforme (A. Cunn. ex Benth.) Pedley,"Papuan wattle, auri, ear leaf acacia, tuhkehn pwelmwahu (Pohnpei), black wattle, ear pod wattle, wattle, earleaf acacia",tree,erect,perennial,single stem,forest/wood,grown on large scale,24.0,32.0,10.0,40.0,1200.0,2500.0,500.0,5000.0,6.0,8.0,3.0,9.5,10.0,7.0,17.0,20.0,600.0,very bright,very bright,very bright,clear skies,medium (50-150 cm),shallow (20-50 cm),"heavy, medium, light","heavy, medium, light",low,low,,,low (<4 dS/m),medium (4-10 dS/m),"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",,,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar)","fire, drought",,,,180.0,240.0,Acacia,auriculiformis,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+auriculiformis,10-12,10,12
4,4,4,297,Acacia farnesiana,(L.) Willd.,Magnoliopsida:Rosidae:Fabales:Leguminosae,"Mimosa farnesiana L., Mimosa acicularis Poir., Acacia lenticulata F. Muell., Vachellia farnesiana (L.) Wight & Arn., Acacia comosa Gagnep.","Ellington curse, klu, cassie, espino blanco, aroma, popinac, kandaroma, kolu, vaivai vaka-vatona, vaivai vakavotona, ban baburi, oki, te kaibakoa (Kiribati), debena (Nauru), mimosa bush, needle bush, sweet acacia, Prickly Moses, Perfumed wattle, Cassie flower, Sweet Mimosa Bush, Sponge flower, Scented Wattle",tree,erect,perennial,single stem,"materials, ornamentals/turf, medicinals & aromatic, environmental",grown on small scale,20.0,32.0,7.0,42.0,400.0,1400.0,150.0,4000.0,6.5,7.0,4.3,8.0,12.0,12.0,36.0,36.0,1300.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),"medium, light","heavy, medium, light",low,low,,,low (<4 dS/m),high (>10 dS/m)),"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",,,short day (<12 hours),"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs)",,,can become a weed,,60.0,240.0,Acacia,farnesiana,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+farnesiana,9-11,9,11
5,5,5,298,Acacia holosericea,A. Cunn.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,"Strap wattle, Candelabra wattle","shrub, tree",erect,perennial,"single stem, multi stem","ornamentals/turf, forest/wood, environmental",grown on small scale,24.0,32.0,12.0,45.0,600.0,1200.0,250.0,1600.0,5.5,7.5,4.5,8.5,13.0,11.0,22.0,24.0,750.0,very bright,very bright,very bright,clear skies,medium (50-150 cm),shallow (20-50 cm),"medium, light","medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",-1.0,-1.0,short day (<12 hours),"tropical wet & dry (Aw), steppe or semiarid (Bs)",,,,,120.0,300.0,Acacia,holosericea,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+holosericea,10-12,10,12
6,6,6,299,Acacia mellifera,(Vahl) Benth.,Leguminosae,Mimosa mellifera,Kitr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Acacia,mellifera,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+mellifera,,,
7,7,7,318,Adenanthera pavonina,L.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,"Acacia Coral, adenantero, Agati, Agati Petite Feuille, Arbreglise, Barbados coralwood, Barbados pride, bead tree, Bois Noir de Bourbon, Bois Noir la Graine, Bois Noir Rouge, Bois Noir, caralillo, caralín, carolina, chan‚trèi, circassian bean, circassian seed, Corail Vegetale, Coral Wood, coral, Coralitos, coralitos peonía, crab's eyes, Curly Bean, Deleite, Delicia, Dilmawi, église, Extranjera, flower-fence, Graine-r‚glisse, Graines Rouges, Jumbi Bead, L‚glise, jumbie bead, kitoke laut, Lagati, lam, legliz, Lera, lopa, ma clam ta cheng, ma clam ton, ma hok daeng, mai-chek, malatinglin, mangelim, olho de pavao, Paina, peacock flower-fence, peronía, peronías, Pitipitio, Pomea, Popoa, R‚glisse, raktakambal, Red Bead Tree, Red Sandalwood Tree, Red Sandalwood, reglisse, saga telik, saga tumpul, saga, sandal bead tree, segawe sabrang, suga, temo-carolina, tento carolina, Vaivai Ni Vavalagired, sandalwood tree, zumbic tree",tree,erect,perennial,"deciduous, single stem","forage/pasture, vegetables, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",,22.0,28.0,12.0,36.0,3000.0,5000.0,2000.0,6000.0,5.0,7.0,4.5,7.5,,,30.0,35.0,400.0,cloudy skies,clear skies,light shade,very bright,deep (>>150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light, wide, organic",high,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",,,,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)",,wind,,,365.0,365.0,Adenanthera,pavonina,,https://pfaf.org/user/Plant.aspx?LatinName=Adenanthera+pavonina,10-12,10,12
8,8,8,326,Aeschynomene americana,L.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,"American joint vetch, bastard sensitive plant",shrub,erect,"annual, perennial",multi stem,forage/pasture,"grown on large scale, grown on small scale",22.0,30.0,7.0,35.0,1000.0,1500.0,600.0,4000.0,5.5,7.0,4.0,8.0,,,30.0,30.0,2800.0,clear skies,clear skies,very bright,cloudy skies,shallow (20-50 cm),shallow (20-50 cm),"heavy, medium, light","heavy, medium, light",moderate,moderate,,,low (<4 dS/m),low (<4 dS/m),poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",,,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","drought, flooding",,,,60.0,220.0,Aeschynomene,americana,,https://pfaf.org/user/Plant.aspx?LatinName=Aeschynomene+americana,,,
9,9,9,329,Agathis australis,(Lamb.) Steud.,Pinopsida:Araucariaceae,Dammara australis Lamb.,New Zealand kauri,tree,erect,perennial,"evergreen, single stem",forest/wood,,14.0,24.0,5.0,32.0,1200.0,1600.0,1000.0,2000.0,4.8,5.5,4.5,6.5,34.0,34.0,38.0,38.0,400.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),"medium, light","heavy, medium, light",high,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-17.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",subtropical humid (Cf),,wind,,,150.0,240.0,Agathis,australis,,https://pfaf.org/user/Plant.aspx?LatinName=Agathis+australis,,,
