,Crop_Code,Scientific_Name,Genus,Species,Variety,Life_Form,Habit,Life_Span,Physiology,Category,Plant_Attributes,Temp_Opt_Min,Temp_Opt_Max,Temp_Opt_Min_F,Temp_Opt_Max_F,Temp_Abs_Min,Temp_Abs_Max,Temp_Abs_Min_F,Temp_Abs_Max_F,Killing_Temp_Rest,Killing_Temp_Growth,Killing_Temp_Rest_F,Killing_Temp_Growth_F,Rain_Opt_Min,Rain_Opt_Max,Rain_Abs_Min,Rain_Abs_Max,Lat_Opt_Min,Lat_Opt_Max,Lat_Abs_Min,Lat_Abs_Max,Alt_Opt_Min,Alt_Opt_Max,Alt_Abs_Min,Alt_Abs_Max,pH_Opt_Min,pH_Opt_Max,pH_Abs_Min,pH_Abs_Max,Light_Opt_Min,Light_Opt_Max,Light_Abs_Min,Light_Abs_Max,Depth_Opt,Depth_Abs,Texture_Ops,Texture_Abs,Fertility_Ops,Fertility_Abs,Al_Toxicity_Opt,Al_Toxicity_Abs,Salinity_Ops,Salinity_Abs,Drainage_Opt,Drainage_Abs,Photoperiod,Abiotic_Tolererance,Abiotic_Susceptibility,Introduction_Risks,Production_System,Cropping_System,Subsystem,Companion_Species,Level_of_Mechanization,Labour_Intensity,Crop_Cycle_Min,Crop_Cycle_Max,Use_Main,Use_Detailed,Use_Part,Climate_Zone_Trewartha,USDA_Hardiness_Zone,USDA_Hardiness_Zone_Min,USDA_Hardiness_Zone_Max,Datasheet_URL,PFAF_URL,Climate_Zone_Trewartha_Abbreviations,Climate_Zone_Koppen_Geiger_Abbreviations,Climate_Zone_Koppen_Geiger_IDs
0,289,Abelmoschus esculentus,Abelmoschus,esculentus,,herb,erect,annual,single stem,vegetables,grown on large scale,20.0,30.0,68.0,86.0,12.0,35.0,53.6,95.0,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,600.0,1200.0,300.0,2500.0,21.959985813389384,24.896480043077425,35.0,40.0,,,589.4025163469174,1000.0,5.5,7.0,4.5,8.7,clear skies,clear skies,very bright,cloudy skies,shallow (20-50 cm),shallow (20-50 cm),"heavy, medium, light, organic","heavy, medium, light",high,moderate,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),short day (<12 hours),drought,fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,50.0,180.0,food & beverage,vitamins,fruits,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",5-11,5,11,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=289,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus+esculentus,"['Aw', 'Ar', 'Bs', 'Cf', 'Cs', 'Cw']","['Aw', 'Cwa', 'Csc', 'Cwb', 'BSh', 'Cwc', 'Af', 'Csa', 'BSk', 'Cfb', 'Cfc', 'Am', 'Cfa', 'Csb']","[3, 11, 10, 12, 6, 13, 1, 8, 7, 15, 16, 2, 14, 9]"
1,290,Abelmoschus manihot,Abelmoschus,manihot,,shrub,erect,"annual, perennial","deciduous, multi stem","vegetables, ornamentals/turf, medicinals & aromatic",grown on small scale,22.0,30.0,71.6,86.0,16.0,36.0,60.8,96.8,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,1200.0,2000.0,1000.0,3000.0,21.959985813389384,24.896480043077425,29.0,34.5,,,589.4025163469174,1200.0,5.5,7.0,5.0,8.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),medium (50-150 cm),"medium, organic","heavy, medium, light",high,moderate,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),long day (>14 hours),drought,fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,365.0,365.0,food & beverage,vitamins,leaves,"tropical wet & dry (Aw), tropical wet (Ar)",8-11,8,11,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=290,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus+manihot,"['Aw', 'Ar']","['Aw', 'Af', 'Am']","[3, 1, 2]"
2,291,Abelmoschus moschatus,Abelmoschus,moschatus,,"herb, sub-shrub",prostrate/procumbent/semi-erect,"annual, biennial, perennial","deciduous, multi stem","ornamentals/turf, medicinals & aromatic",grown on large scale,20.0,30.0,68.0,86.0,10.0,35.0,50.0,95.0,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,1000.0,1400.0,900.0,1500.0,21.959985813389384,24.896480043077425,23.0,29.0,,,589.4025163469174,900.0,5.5,7.0,5.0,8.0,cloudy skies,very bright,light shade,very bright,medium (50-150 cm),shallow (20-50 cm),"medium, organic","medium, organic",high,moderate,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),long day (>14 hours),drought,fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,0.0,0.0,environmental,ornamental/turf,entire plant,tropical wet & dry (Aw),8-11,8,11,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=291,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus+moschatus,['Aw'],['Aw'],[3]
3,295,Acacia auriculiformis,Acacia,auriculiformis,,tree,erect,perennial,single stem,forest/wood,grown on large scale,24.0,32.0,75.2,89.6,10.0,40.0,50.0,104.0,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,1200.0,2500.0,500.0,5000.0,10.0,7.0,17.0,20.0,,,213.94736842105263,600.0,6.0,8.0,3.0,9.5,very bright,very bright,very bright,clear skies,medium (50-150 cm),shallow (20-50 cm),"heavy, medium, light","heavy, medium, light",low,low,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),medium (4-10 dS/m),"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",short day (<12 hours),"fire, drought",fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,180.0,240.0,material,dye/tannin,stems,"tropical wet & dry (Aw), tropical wet (Ar)",10-12,10,12,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=295,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+auriculiformis,"['Aw', 'Ar']","['Aw', 'Af', 'Am']","[3, 1, 2]"
4,297,Acacia farnesiana,Acacia,farnesiana,,tree,erect,perennial,single stem,"materials, ornamentals/turf, medicinals & aromatic, environmental",grown on small scale,20.0,32.0,68.0,89.6,7.0,42.0,44.6,107.6,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,400.0,1400.0,150.0,4000.0,12.0,12.0,36.0,36.0,,,213.94736842105263,1300.0,6.5,7.0,4.3,8.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),"medium, light","heavy, medium, light",low,low,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),high (>10 dS/m)),"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",short day (<12 hours),drought,fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,60.0,240.0,environmental,ornamental/turf,entire plant,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs)",9-11,9,11,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=297,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+farnesiana,"['Aw', 'Bs', 'Cs']","['Aw', 'Csc', 'BSh', 'Csa', 'BSk', 'Csb']","[3, 10, 6, 8, 7, 9]"
5,298,Acacia holosericea,Acacia,holosericea,,"shrub, tree",erect,perennial,"single stem, multi stem","ornamentals/turf, forest/wood, environmental",grown on small scale,24.0,32.0,75.2,89.6,12.0,45.0,53.6,113.0,-1.0,-1.0,30.2,30.2,600.0,1200.0,250.0,1600.0,13.0,11.0,22.0,24.0,,,213.94736842105263,750.0,5.5,7.5,4.5,8.5,very bright,very bright,very bright,clear skies,medium (50-150 cm),shallow (20-50 cm),"medium, light","medium, light",moderate,low,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",short day (<12 hours),drought,fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,120.0,300.0,fuels,fuelwood,bark,"tropical wet & dry (Aw), steppe or semiarid (Bs)",10-12,10,12,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=298,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+holosericea,"['Aw', 'Bs']","['Aw', 'BSh', 'BSk']","[3, 6, 7]"
6,299,Acacia mellifera,Acacia,mellifera,,"shrub, tree",erect,perennial,"single stem, multi stem","forest/wood, environmental",harvested from wild,20.16304347826087,32.22826086956522,68.29347826086956,90.0108695652174,9.41304347826087,40.47826086956522,48.94347826086957,104.8608695652174,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,554.0760869565217,976.3586956521739,365.8695652173913,1302.1739130434783,18.839080459770116,17.451219512195124,33.032967032967036,51.7032967032967,,,213.94736842105263,906.4606741573034,5.766304347826087,7.021739130434782,5.041304347826087,7.69891304347826,very bright,very bright,very bright,clear skies,deep (>>150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",moderate,low,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",drought,fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,0.0,0.0,fuels,fuelwood,bark,"desert or arid (Bw), steppe or semiarid (Bs)",10-12,10,12,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=299,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+mellifera,"['Bw', 'Bs']","['BWk', 'BWh', 'BSh', 'BSk']","[5, 4, 6, 7]"
7,318,Adenanthera pavonina,Adenanthera,pavonina,,tree,erect,perennial,"deciduous, single stem","forage/pasture, vegetables, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",grown on small scale,22.0,28.0,71.6,82.4,12.0,36.0,53.6,96.8,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,3000.0,5000.0,2000.0,6000.0,21.959985813389384,24.896480043077425,30.0,35.0,,,589.4025163469174,400.0,5.0,7.0,4.5,7.5,cloudy skies,clear skies,light shade,very bright,deep (>>150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light, wide, organic",high,moderate,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",short day (<12 hours),drought,wind,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,365.0,365.0,food & beverage,protein,seeds,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)",10-12,10,12,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=318,https://pfaf.org/user/Plant.aspx?LatinName=Adenanthera+pavonina,"['Aw', 'Ar', 'Cf']","['Aw', 'Af', 'Cfb', 'Cfc', 'Am', 'Cfa']","[3, 1, 15, 16, 2, 14]"
8,326,Aeschynomene americana,Aeschynomene,americana,,shrub,erect,"annual, perennial",multi stem,forage/pasture,"grown on large scale, grown on small scale",22.0,30.0,71.6,86.0,7.0,35.0,44.6,95.0,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,1000.0,1500.0,600.0,4000.0,8.333333333333334,24.896480043077425,30.0,30.0,,,589.4025163469174,2800.0,5.5,7.0,4.0,8.0,clear skies,clear skies,very bright,cloudy skies,shallow (20-50 cm),shallow (20-50 cm),"heavy, medium, light","heavy, medium, light",moderate,moderate,low (6-15% of CEC),medium (16-25% of CEC,low (<4 dS/m),low (<4 dS/m),poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",short day (<12 hours),"drought, flooding",fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,60.0,220.0,animal food (feed),vitamins,entire plant,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)",10-12,10,12,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=326,https://pfaf.org/user/Plant.aspx?LatinName=Aeschynomene+americana,"['Aw', 'Ar', 'Cf']","['Aw', 'Af', 'Cfb', 'Cfc', 'Am', 'Cfa']","[3, 1, 15, 16, 2, 14]"
9,329,Agathis australis,Agathis,australis,,tree,erect,perennial,"evergreen, single stem",forest/wood,harvested from wild,14.0,24.0,57.2,75.2,5.0,32.0,41.0,89.6,-17.0,-1.0,1.3999999999999986,30.2,1200.0,1600.0,1000.0,2000.0,34.0,34.0,38.0,38.0,,,400.0,400.0,4.8,5.5,4.5,6.5,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),"medium, light","heavy, medium, light",high,moderate,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",drought,wind,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,150.0,240.0,material,timber wood,bark,subtropical humid (Cf),10-11,10,11,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=329,https://pfaf.org/user/Plant.aspx?LatinName=Agathis+australis,['Cf'],"['Cfb', 'Cfa', 'Cfc']","[15, 14, 16]"
10,331,Agathis macrophylla,Agathis,macrophylla,,tree,erect,perennial,"evergreen, single stem",environmental,harvested from wild,22.0,32.0,71.6,89.6,10.0,40.0,50.0,104.0,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,4000.0,5000.0,2000.0,7000.0,19.5,18.5,26.0,28.6,,,400.0,480.0,4.5,6.0,4.0,6.5,very bright,clear skies,very bright,light shade,deep (>>150 cm),medium (50-150 cm),"heavy, medium","heavy, medium, light",moderate,low,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),short day (<12 hours),drought,wind,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,300.0,365.0,environmental,pioneer,entire plant,tropical wet (Ar),10-12,10,12,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=331,https://pfaf.org/user/Plant.aspx?LatinName=Agathis+macrophylla,['Ar'],"['Af', 'Am']","[1, 2]"
11,333,Agathis robusta,Agathis,robusta,,tree,erect,perennial,"evergreen, single stem",forest/wood,harvested from wild,18.0,30.0,64.4,86.0,6.0,38.0,42.8,100.4,-2.0,0.0,28.4,32.0,1500.0,3000.0,900.0,5000.0,15.0,15.0,27.0,27.0,,,400.0,900.0,5.5,7.0,4.2,8.1,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",moderate,low,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",short day (<12 hours),drought,wind,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,210.0,300.0,material,timber wood,bark,"tropical wet & dry (Aw), subtropical humid (Cf)",8-11,8,11,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=333,https://pfaf.org/user/Plant.aspx?LatinName=Agathis+robusta,"['Aw', 'Cf']","['Cfb', 'Aw', 'Cfc', 'Cfa']","[15, 3, 16, 14]"
12,339,Agave sisalana,Agave,sisalana,,herb,"erect, acaulescent (or rosette plants)",perennial,"evergreen, single stem","materials, environmental",grown on large scale,15.0,27.0,59.0,80.6,10.0,45.0,50.0,113.0,-5.0,-5.0,23.0,23.0,900.0,1250.0,500.0,1800.0,10.0,10.0,25.0,25.0,,,180.0,2000.0,6.0,7.5,5.5,8.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",moderate,low,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",short day (<12 hours),drought,fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,150.0,270.0,material,fibres,leaves,"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",9-11,9,11,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=339,https://pfaf.org/user/Plant.aspx?LatinName=Agave+sisalana,"['Aw', 'Cf', 'Cs', 'Cw']","['Aw', 'Cwa', 'Csc', 'Cwb', 'Cwc', 'Csa', 'Cfb', 'Cfc', 'Cfa', 'Csb']","[3, 11, 10, 12, 13, 8, 15, 16, 14, 9]"
13,347,Albizia falcataria,Albizia,falcataria,,tree,erect,perennial,"deciduous, single stem","materials, forest/wood, environmental",grown on small scale,22.0,31.0,71.6,87.8,17.0,40.0,62.6,104.0,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,2000.0,4000.0,1000.0,5500.0,18.125,17.625,5.0,10.0,,,226.66666666666666,2000.0,5.5,7.3,4.5,8.5,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),"heavy, medium","heavy, medium, light",moderate,low,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),short day (<12 hours),drought,fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,270.0,365.0,animal food (feed),vitamins,leaves,"tropical wet & dry (Aw), tropical wet (Ar)",10-11,10,11,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=347,https://pfaf.org/user/Plant.aspx?LatinName=Albizia+falcataria,"['Aw', 'Ar']","['Aw', 'Af', 'Am']","[3, 1, 2]"
14,349,Albizia lebbeck,Albizia,lebbeck,,tree,erect,perennial,"deciduous, single stem","forage/pasture, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",grown on large scale,26.0,36.0,78.8,96.8,12.0,48.0,53.6,118.4,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,600.0,2000.0,500.0,2500.0,11.0,11.0,27.0,27.0,,,226.66666666666666,1600.0,6.0,7.0,5.5,8.5,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),medium,"heavy, medium, light",low,low,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),medium (4-10 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",short day (<12 hours),drought,fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,180.0,300.0,animal food (feed),vitamins,leaves,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)",10-11,10,11,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=349,https://pfaf.org/user/Plant.aspx?LatinName=Albizia+lebbeck,"['Aw', 'Bs', 'Cf']","['Aw', 'BSh', 'BSk', 'Cfb', 'Cfc', 'Cfa']","[3, 6, 7, 15, 16, 14]"
15,350,Albizia procera,Albizia,procera,,tree,erect,perennial,"deciduous, single stem","materials, forest/wood, environmental",grown on small scale,20.0,33.0,68.0,91.4,10.0,45.0,50.0,113.0,-7.324697754749568,-0.42055267702936094,18.815544041450778,31.24300518134715,1500.0,2500.0,780.0,5100.0,18.125,17.625,20.0,20.0,,,226.66666666666666,1200.0,5.5,6.5,5.0,7.5,very bright,very bright,very bright,light shade,medium (50-150 cm),shallow (20-50 cm),medium,"heavy, medium, light",moderate,low,low (6-15% of CEC),low (6-15% of CEC),low (<4 dS/m),low (<4 dS/m),"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",short day (<12 hours),drought,fire,can become a weed,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,150.0,270.0,material,timber wood,bark,tropical wet & dry (Aw),10-12,10,12,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=350,https://pfaf.org/user/Plant.aspx?LatinName=Albizia+procera,['Aw'],['Aw'],[3]
