,CDL_Code,Crop_Name,Likely_Crop_Species,Discussion
1,1,Corn,['Zea mays'],"When a field has 'corn' growing in it, the species is most likely Zea mays. Corn is a staple crop grown worldwide for its versatility and nutritional value."
2,2,Cotton,"['Gossypium hirsutum', 'Gossypium barbadense', 'Gossypium arboreum', 'Gossypium herbaceum']","When a field has 'cotton' growing in it, the species is most likely Gossypium hirsutum, which is commonly referred to as upland cotton. This species accounts for approximately 90% of the world's cotton production. Other species of cotton include:

1. Gossypium barbadense (also known as extra-long staple cotton, Pima cotton, or Egyptian cotton)
2. Gossypium arboreum (tree cotton)
3. Gossypium herbaceum (Levant cotton)

However, Gossypium hirsutum is the predominant species used in agriculture."
3,3,Rice,"['Oryza sativa', 'Oryza glaberrima']","When a field has 'rice' growing in it, the species is most likely Oryza sativa, which is the most widely grown and consumed type of rice worldwide. Another species is Oryza glaberrima, also known as African rice, which is cultivated in parts of West Africa."
4,4,Sorghum,['Sorghum bicolor'],"When a field has 'sorghum' growing in it, the species is most likely Sorghum bicolor. This species is widely grown for grain, forage, and as a biofuel crop. Sorghum is known for its drought tolerance and versatility in different climates."
5,5,Soybeans,['Glycine max'],"When a field has 'soybeans' growing in it, the species is most likely Glycine max. Soybeans are a major source of protein and oil and are used in a variety of food and industrial products."
6,6,Sunflower,['Helianthus annuus'],"When a field has 'sunflower' growing in it, the species is most likely Helianthus annuus. Sunflowers are grown for their seeds, which are used for oil production, bird feed, and snacks."
10,10,Peanuts,['Arachis hypogaea'],"When a field has 'peanuts' growing in it, the species is most likely Arachis hypogaea. Peanuts are grown for their edible seeds and are a major source of oil and protein."
11,11,Tobacco,['Nicotiana tabacum'],"When a field has 'tobacco' growing in it, the species is most likely Nicotiana tabacum. Tobacco is cultivated for its leaves, which are used in the production of cigarettes, cigars, and other tobacco products."
12,12,Sweet Corn,['Zea mays convar. saccharata'],"When a field has 'sweet corn' growing in it, the species is most likely Zea mays convar. saccharata. Sweet corn is a variety of maize with a high sugar content, commonly consumed as a vegetable."
13,13,Pop or Orn Corn,['Zea mays'],"When a field has 'Pop or Orn Corn' growing in it, the species is also Zea mays, but it refers specifically to varieties that are used for popping or ornamental purposes. These varieties have different kernel properties compared to standard field corn or sweet corn. Popcorn, for example, has a hard outer shell and a starchy interior that expands and pops when heated. Ornamental corn varieties are often grown for their colorful and decorative kernels."
14,14,Mint,"['Mentha spicata', 'Mentha piperita']","When a field has 'mint' growing in it, the species is most likely Mentha spicata (spearmint) or Mentha piperita (peppermint). These species are widely cultivated for their aromatic leaves, which are used in culinary, medicinal, and cosmetic products."
21,21,Barley,['Hordeum vulgare'],"When a field has 'barley' growing in it, the species is most likely Hordeum vulgare. Barley is a versatile cereal grain used for food, animal feed, and brewing."
