Codes,Class_Names,Crop (1) / non-crop (0),ESRI_Red,ESRI_Green,ESRI_Blue
0,Background,0,0,0,0
1,Corn,1,255,212,0
2,Cotton,1,255,38,38
3,Rice,1,0,169,230
4,Sorghum,1,255,158,15
5,Soybeans,1,38,115,0
6,Sunflower,1,255,255,0
7, ,0,0,0,0
8, ,0,0,0,0
9, ,0,0,0,0
10,Peanuts,1,112,168,0
11,Tobacco,1,0,175,77
12,Sweet Corn,1,224,166,15
13,Pop or Orn Corn,1,224,166,15
14,Mint,1,128,212,255
15, ,0,0,0,0
16, ,0,0,0,0
17, ,0,0,0,0
18, ,0,0,0,0
19, ,0,0,0,0
20, ,0,0,0,0
21,Barley,1,226,0,127
22,Durum Wheat,1,138,100,83
23,Spring Wheat,1,217,181,108
24,Winter Wheat,1,168,112,0
25,Other Small Grains,1,214,157,188
26,Dbl Crop WinWht/Soybeans,1,115,115,0
27,Rye,1,174,1,126
28,Oats,1,161,88,137
29,Millet,1,115,0,76
30,Speltz,1,214,157,188
31,Canola,1,209,255,0
32,Flaxseed,1,128,153,255
33,Safflower,1,214,214,0
34,Rape Seed,1,209,255,0
35,Mustard,1,0,175,77
36,Alfalfa,1,255,168,227
37,Other Hay/Non Alfalfa,1,165,245,141
38,Camelina,1,0,175,77
39,Buckwheat,1,214,157,188
40, ,0,0,0,0
41,Sugarbeets,1,169,0,230
42,Dry Beans,1,168,0,0
43,Potatoes,1,115,38,0
44,Other Crops,1,0,175,77
45,Sugarcane,1,179,128,255
46,Sweet Potatoes,1,115,38,0
47,Misc Vegs & Fruits,1,255,102,102
48,Watermelons,1,255,102,102
49,Onions,1,255,204,102
50,Cucumbers,1,255,102,102
51,Chick Peas,1,0,175,77
52,Lentils,1,0,222,176
53,Peas,1,85,255,0
54,Tomatoes,1,245,162,122
55,Caneberries,1,255,102,102
56,Hops,1,0,175,77
57,Herbs,1,128,212,255
58,Clover/Wildflowers,0,232,190,255
59,Sod/Grass Seed,0,178,255,222
60,Switchgrass,0,0,175,77
61,Fallow/Idle Cropland,0,191,191,122
62, ,0,0,0,0
63,Forest,0,149,206,147
64,Shrubland,0,199,215,158
65,Barren,0,204,191,163
